scenario,symbol,company_name,selection_count,avg_activity,avg_drop_pct
原始口径｜大跌池内活跃前三,PRSO,Peraso Inc.,1,2.0501639002616825,-11.274509803921573
原始口径｜大跌池内活跃前三,SOAR,"Volato Group, Inc.",1,2.050133792407418,-11.49825783972126
原始口径｜大跌池内活跃前三,SPRC,SciSparc Ltd.,1,2.0052013922394907,-28.342245989304825
原始口径｜大跌池内活跃前三,RGNT,Regentis Biomaterials Ltd.,1,1.9876150796207575,-35.1063829787234
原始口径｜大跌池内活跃前三,ATPC,Agape ATP Corporation,1,1.9591742125069065,-26.90476190476191
原始口径｜大跌池内活跃前三,PSIG,PS International Group Ltd.,1,1.8094955293264419,-87.71186440677965
原始口径｜大跌池内活跃前三,XNDU,Xanadu Quantum Technologies Lim,1,1.6913436182027888,-61.26799557032114
原始口径｜大跌池内活跃前三,KAPA,"Kairos Pharma, Ltd.",1,1.6574903586591458,-12.241653418123999
原始口径｜大跌池内活跃前三,LICN,Lichen International Limited,1,1.6562275541256446,-38.92215568862275
原始口径｜大跌池内活跃前三,ICON,Icon Energy Corp.,1,1.612109904196283,-17.682926829268297
原始口径｜大跌池内活跃前三,DRCT,"Direct Digital Holdings, Inc.",1,1.6087807945729555,-11.349693251533733
原始口径｜大跌池内活跃前三,TRNR,Interactive Strength Inc.,1,1.5910958078480568,-14.000000000000002
原始口径｜大跌池内活跃前三,FBLG,"FibroBiologics, Inc.",1,1.564151149329013,-42.10526315789475
原始口径｜大跌池内活跃前三,INDO,Indonesia Energy Corporation Li,1,1.5124996980087797,-22.106824925816028
原始口径｜大跌池内活跃前三,ONEG,OneConstruction Group Limited,1,1.490031450719823,-80.33536585365853
原始口径｜大跌池内活跃前三,SXTP,"60 Degrees Pharmaceuticals, Inc",1,1.4758254581233439,-9.627329192546586
原始口径｜大跌池内活跃前三,CNEY,CN Energy Group Inc.,1,1.4494144010883776,-21.752265861027187
原始口径｜大跌池内活跃前三,HCTI,"Healthcare Triangle, Inc.",1,1.4416691146963123,-13.597246127366624
原始口径｜大跌池内活跃前三,NPT,Texxon Holding Limited,1,1.4406241719284931,-50.40650406504065
原始口径｜大跌池内活跃前三,MLSS,"Milestone Scientific, Inc.",1,1.332157544559876,-8.904109589041088
原始口径｜大跌池内活跃前三,NSRX,Nasus Pharma Ltd.,1,1.2446449467999805,-38.0
原始口径｜大跌池内活跃前三,POET,POET Technologies Inc.,1,1.2036677296352858,-47.35099337748344
原始口径｜大跌池内活跃前三,ODD,ODDITY Tech Ltd.,1,1.1716568596435706,-49.20744314266023
原始口径｜大跌池内活跃前三,KUST,"Kustom Entertainment, Inc.",1,1.1603916634959164,-23.949579831932766
原始口径｜大跌池内活跃前三,REPL,"Replimune Group, Inc.",1,1.1582816537842435,-64.28571428571428
原始口径｜大跌池内活跃前三,LGVN,Longeveron Inc.,1,1.049583837651715,-8.247422680412363
原始口径｜大跌池内活跃前三,BFRG,"Bullfrog AI Holdings, Inc.",1,1.0395070212898356,-25.92592592592593
原始口径｜大跌池内活跃前三,MDCX,Medicus Pharma Ltd.,1,1.0195354290400074,-25.0620347394541
原始口径｜大跌池内活跃前三,FUTU,Futu Holdings Limited,1,1.0118357093500294,-27.531083481349906
原始口径｜大跌池内活跃前三,LESL,"Leslie's, Inc.",1,0.9930413035162601,-13.428571428571434
原始口径｜大跌池内活跃前三,IPST,"IP Strategy Holdings, Inc.",1,0.9819743072237651,-14.003590664272892
原始口径｜大跌池内活跃前三,EEIQ,EpicQuest Education Group Inter,1,0.9758350734755574,-13.103448275862062
原始口径｜大跌池内活跃前三,AIDX,"20/20 Biolabs, Inc.",1,0.9576553360831976,-19.00826446280992
原始口径｜大跌池内活跃前三,ADVB,Advanced Biomed Inc.,1,0.9318746077867968,-8.374384236453203
原始口径｜大跌池内活跃前三,SST,"System1, Inc.",1,0.903361621151783,-31.60919540229884
原始口径｜大跌池内活跃前三,WGRX,"Wellgistics Health, Inc.",1,0.9022829827134711,-13.541666666666652
原始口径｜大跌池内活跃前三,NCI,Neo-Concept International Group,1,0.8864838834746886,-8.105646630236796
原始口径｜大跌池内活跃前三,NAMM,Namib Minerals,1,0.8534544844207962,-9.944751381215477
原始口径｜大跌池内活跃前三,POM,POMDOCTOR LIMITED,1,0.8396023885551405,-85.87570621468927
原始口径｜大跌池内活跃前三,ANPA,Rich Sparkle Holdings Limited,1,0.8393630880198484,-16.71134941912421
原始口径｜大跌池内活跃前三,GXAI,Gaxos.ai Inc.,1,0.8223355100265327,-10.497237569060768
原始口径｜大跌池内活跃前三,SNGX,"Soligenix, Inc.",1,0.7922642932687752,-70.35211267605635
原始口径｜大跌池内活跃前三,HTCO,High-Trend International Group,1,0.7790613954737584,-78.83307169021455
原始口径｜大跌池内活跃前三,CDIO,Cardio Diagnostics Holdings Inc,1,0.7450709274318114,-20.610687022900752
原始口径｜大跌池内活跃前三,KIDZ,KIDZ AI Inc.,1,0.7418152430887014,-18.445121951219512
原始口径｜大跌池内活跃前三,MTVA,MetaVia Inc.,1,0.7304336032927393,-22.857142857142865
原始口径｜大跌池内活跃前三,BENF,Beneficient,1,0.700928216778975,-19.277108433734945
原始口径｜大跌池内活跃前三,GETY,"Getty Images Holdings, Inc.",1,0.69848614661173,-8.108108108108103
原始口径｜大跌池内活跃前三,RDGT,"Ridgetech, Inc.",1,0.652416071205692,-29.54545454545454
原始口径｜大跌池内活跃前三,VITL,"Vital Farms, Inc.",1,0.6275401875573783,-20.666666666666668
原始口径｜大跌池内活跃前三,ENVB,"Enveric Biosciences, Inc.",1,0.6256812483785633,-23.449612403100772
原始口径｜大跌池内活跃前三,DUOL,"Duolingo, Inc.",1,0.554298235137468,-14.005959982971483
原始口径｜大跌池内活跃前三,CREG,Smart Powerr Corp.,1,0.5290128403513077,-32.85714285714286
原始口径｜大跌池内活跃前三,SMCI,"Super Micro Computer, Inc.",1,0.5198107579922165,-33.322507307567385
原始口径｜大跌池内活跃前三,NFE,New Fortress Energy Inc.,1,0.5114137636497512,-19.999999999999996
原始口径｜大跌池内活跃前三,LNAI,Lunai Bioworks Inc.,1,0.44742529964750843,-27.82764811490126
原始口径｜大跌池内活跃前三,RDAC,Rising Dragon Acquisition Corp.,1,0.38341214566610166,-48.025353486104336
原始口径｜大跌池内活跃前三,GCDT,Green Circle Decarbonize Techno,1,0.3549398429659366,-33.333333333333336
原始口径｜大跌池内活跃前三,TURB,"Turbo Energy, S.A.",1,0.3056330073226592,-9.398496240601506
原始口径｜大跌池内活跃前三,GFAI,"Guardforce AI Co., Limited",1,0.25478836253866083,-11.242603550295849
可交易口径｜全市场活跃前三后筛大跌,DFNS,T3 Defense Inc.,3,4.96780884951789,-33.252673783357615
可交易口径｜全市场活跃前三后筛大跌,RUBI,Rubico Inc.,2,6.74233244749367,-22.501398471005025
可交易口径｜全市场活跃前三后筛大跌,ELAB,PMGC Holdings Inc.,2,3.288863414325065,-40.83148219073152
可交易口径｜全市场活跃前三后筛大跌,TPET,Trio Petroleum Corp.,2,2.421549652666744,-10.076196281621458
可交易口径｜全市场活跃前三后筛大跌,SKYQ,Sky Quarry Inc.,2,1.8187676272511155,-15.295358649789032
可交易口径｜全市场活跃前三后筛大跌,SDOT,Sadot Group Inc.,2,1.550324992673458,-20.96097747410459
可交易口径｜全市场活跃前三后筛大跌,JEM,707 Cayman Holdings Limited,1,25.08606439493844,-19.143576826196483
可交易口径｜全市场活跃前三后筛大跌,VSA,VisionSys AI Inc.,1,15.06289057100915,-44.52554744525548
可交易口径｜全市场活跃前三后筛大跌,VCIG,VCI Global Limited,1,6.331119070709546,-12.826899128268987
可交易口径｜全市场活跃前三后筛大跌,TDIC,Dreamland Limited,1,6.0588231949075535,-96.52928416485899
可交易口径｜全市场活跃前三后筛大跌,BIRD,"Smartbird, Inc.",1,4.788105704466814,-35.78575632725132
可交易口径｜全市场活跃前三后筛大跌,ONCO,"Onconetix, Inc.",1,3.8014193245806993,-39.75155279503107
可交易口径｜全市场活跃前三后筛大跌,AKAN,Akanda Corp.,1,3.7667644354658423,-28.04344018216851
可交易口径｜全市场活跃前三后筛大跌,ASTC,Astrotech Corporation,1,3.398988260718283,-28.915662650602414
